d, no_triplets
6,108
12,98
18,98
24,93
30,197
36,92
42,139
48,95
54,93
60,194
66,130
72,94
78,109
84,144
90,187
96,85
102,101
108,93
114,91
120,181
126,142
132,113
138,98
144,99
150,180
156,104
162,84
168,131
174,96
180,168
186,97
192,88
198,109
204,107
210,263
216,89
222,94
228,96
234,92
240,180
246,95
252,124
258,84
264,104
270,169
276,94
282,93
288,85
294,119
300,174
306,98
312,93
318,78
324,89
330,211
336,128
342,91
348,89
354,90
360,160
366,87
372,81
378,117
384,82
390,186
396,103
402,80
408,97
414,89
420,236
426,86
432,80
438,76
444,92
450,163
456,93
462,135
468,98
474,77
480,153
486,82
492,79
498,75
504,118
510,183
516,87
522,79
528,95
534,77
540,151
546,126
552,87
558,77
564,77
570,179
576,71
582,76
588,108
594,97
600,147
606,77
612,90
618,68
624,92
630,218
636,83
642,77
648,82
654,83
660,185
666,72
672,103
678,70
684,80
690,149
696,83
702,82
708,72
714,126
720,141
726,92
732,73
738,72
744,72
750,152
756,98
762,75
768,70
774,63
780,178
786,72
792,80
798,120
804,73
810,131
816,77
822,66
828,75
834,72
840,206
846,72
852,64
858,98
864,69
870,158
876,77
882,104
888,72
894,67
900,136
906,72
912,82
918,75
924,137
930,145
936,84
942,64
948,70
954,69
960,129
966,108
972,64
978,81
984,72
990,165
996,65
1002,62
1008,101
1014,80
1020,152
1026,68
1032,62
1038,71
1044,71
1050,188
1056,93
1062,63
1068,57
1074,66
1080,128
1086,60
1092,110
1098,74
1104,59
1110,115
1116,70
1122,91
1128,56
1134,96
1140,143
1146,60
1152,49
1158,68
1164,70
1170,152
1176,92
1182,71
1188,77
1194,50
1200,112
1206,52
1212,58
1218,107
1224,67
1230,122
1236,56
1242,53
1248,64
1254,83
1260,178
1266,63
1272,58
1278,67
1284,54
1290,120
1296,61
1302,98
1308,56
1314,66
1320,139
1326,79
1332,56
1338,59
1344,85
1350,117
1356,62
1362,59
1368,61
1374,56
1380,113
1386,108
1392,69
1398,54
1404,71
1410,111
1416,47
1422,57
1428,94
1434,47
1440,116
1446,55
1452,62
1458,51
1464,56
1470,165
1476,58
1482,69
1488,61
1494,62
1500,113
1506,53
1512,79
1518,69
1524,52
1530,116
1536,55
1542,58
1548,65
1554,84
1560,131
1566,63
1572,52
1578,52
1584,68
1590,112
1596,88
1602,52
1608,59
1614,53
1620,104
1626,47
1632,46
1638,87
1644,49
1650,126
1656,51
1662,50
1668,47
1674,58
1680,148
1686,47
1692,57
1698,42
1704,62
1710,106
1716,83
1722,69
1728,52
1734,53
1740,101
1746,54
1752,54
1758,41
1764,71
1770,106
1776,54
1782,60
1788,49
1794,58
1800,94
1806,77
1812,42
1818,50
1824,49
1830,95
1836,46
1842,45
1848,72
1854,48
1860,100
1866,44
1872,61
1878,49
1884,48
1890,147
1896,49
1902,46
1908,48
1914,57
1920,85
1926,41
1932,80
1938,50
1944,38
1950,110
1956,45
1962,43
1968,46
1974,71
1980,115
1986,43
1992,40
1998,52
2004,37
2010,86
2016,66
2022,39
2028,44
2034,42
2040,97
2046,60
2052,45
2058,59
2064,42
2070,91
2076,39
2082,48
2088,42
2094,45
2100,110
2106,50
2112,59
2118,40
2124,44
2130,85
2136,53
2142,56
2148,30
2154,36
2160,77
2166,40
2172,39
2178,44
2184,70
2190,81
2196,42
2202,36
2208,47
2214,37
2220,80
2226,65
2232,40
2238,34
2244,51
2250,86
2256,38
2262,47
2268,54
2274,39
2280,80
2286,40
2292,40
2298,43
2304,38
2310,144
2316,37
2322,43
2328,41
2334,33
2340,79
2346,44
2352,60
2358,35
2364,37
2370,70
2376,51
2382,36
2388,35
2394,67
2400,69
2406,30
2412,35
2418,39
2424,34
2430,71
2436,52
2442,53
2448,42
2454,37
2460,67
2466,31
2472,32
2478,48
2484,41
2490,62
2496,34
2502,32
2508,51
2514,30
2520,100
2526,38
2532,36
2538,29
2544,33
2550,71
2556,33
2562,52
2568,34
2574,45
2580,66
2586,32
2592,31
2598,32
2604,44
2610,68
2616,29
2622,40
2628,23
2634,27
2640,76
2646,50
2652,42
2658,24
2664,33
2670,63
2676,23
2682,23
2688,46
2694,27
2700,64
2706,34
2712,28
2718,33
2724,26
2730,102
2736,34
2742,29
2748,26
2754,32
2760,58
2766,30
2772,53
2778,29
2784,30
2790,55
2796,28
2802,30
2808,34
2814,45
2820,53
2826,26
2832,23
2838,36
2844,25
2850,47
2856,39
2862,27
2868,31
2874,24
2880,43
2886,30
2892,23
2898,43
2904,32
2910,56
2916,26
2922,20
2928,31
2934,25
2940,63
2946,27
2952,24
2958,22
2964,34
2970,53
2976,24
2982,32
2988,22
2994,23
3000,47
3006,23
3012,24
3018,24
3024,28
3030,49
3036,33
3042,20
3048,17
3054,22
3060,51
3066,29
3072,15
3078,29
3084,24
3090,44
3096,19
3102,24
3108,31
3114,24
3120,53
3126,17
3132,31
3138,22
3144,20
3150,51
3156,22
3162,30
3168,21
3174,18
3180,37
3186,21
3192,32
3198,26
3204,19
3210,42
3216,20
3222,21
3228,16
3234,33
3240,35
3246,19
3252,15
3258,18
3264,18
3270,36
3276,31
3282,13
3288,17
3294,17
3300,46
3306,22
3312,15
3318,21
3324,20
3330,37
3336,16
3342,19
3348,17
3354,16
3360,35
3366,21
3372,14
3378,12
3384,18
3390,30
3396,13
3402,15
3408,17
3414,12
3420,29
3426,15
3432,21
3438,16
3444,26
3450,28
3456,16
3462,8
3468,18
3474,11
3480,21
3486,18
3492,12
3498,15
3504,8
3510,28
3516,18
3522,8
3528,22
3534,12
3540,21
3546,14
3552,10
3558,13
3564,12
3570,31
3576,11
3582,9
3588,14
3594,10
3600,25
3606,9
3612,14
3618,11
3624,10
3630,20
3636,10
3642,9
3648,11
3654,10
3660,18
3666,13
3672,9
3678,11
3684,13
3690,14
3696,14
3702,4
3708,7
3714,10
3720,11
3726,10
3732,3
3738,13
3744,7
3750,12
3756,7
3762,8
3768,7
3774,6
3780,17
3786,7
3792,6
3798,3
3804,2
3810,11
3816,7
3822,8
3828,7
3834,6
3840,8
3846,7
3852,4
3858,3
3864,3
3870,4
3876,5
3882,2
3888,3
3894,3
3900,6
3906,6
